x; y; z; voidRatio; porePressure;
   21.211;    15.211;     0.000; 0.3000698;    343187.70;
   21.211;    15.789;     0.000; 0.3000980;    338090.13;
   21.789;    16.211;     0.000; 0.3001407;    334822.58;
   21.789;    16.789;     0.000; 0.3001917;    330205.83;
   21.211;    16.211;     0.000; 0.3001246;    334486.45;
   21.211;    16.789;     0.000; 0.3001696;    329738.60;
   21.789;    17.211;     0.000; 0.3002406;    327057.43;
   21.789;    17.789;     0.000; 0.3003221;    323072.58;
   21.211;    17.211;     0.000; 0.3002117;    326456.54;
   21.211;    17.789;     0.000; 0.3002822;    322237.63;
   21.789;    18.211;     0.000; 0.3003990;    320503.53;
   21.789;    18.789;     0.000; 0.3005264;    317469.62;
   21.211;    18.211;     0.000; 0.3003473;    319430.94;
   21.211;    18.789;     0.000; 0.3004549;    315981.85;
   21.789;    19.211;     0.000; 0.3006444;    315750.64;
   21.789;    19.789;     0.000; 0.3008383;    314088.23;
   21.211;    19.211;     0.000; 0.3005524;    313843.60;
   21.211;    19.789;     0.000; 0.3007110;    311450.89;
   21.789;    20.211;     0.000; 0.3010128;    313543.13;
   21.789;    20.789;     0.000; 0.3012967;    313716.29;
   21.211;    20.211;     0.000; 0.3008508;    310177.66;
   21.211;    20.789;     0.000; 0.3010711;    309091.87;
   21.789;    21.211;     0.000; 0.3015388;    314614.22;
   21.789;    21.789;     0.000; 0.3019274;    316894.26;
   21.211;    21.211;     0.000; 0.3012589;    308759.23;
   21.211;    21.789;     0.000; 0.3015392;    308936.22;
   21.789;    22.211;     0.000; 0.3022248;    318957.06;
   21.789;    22.789;     0.000; 0.3026659;    322312.70;
   21.211;    22.211;     0.000; 0.3017569;    309228.24;
   21.211;    22.789;     0.000; 0.3020643;    309849.08;
   21.789;    23.211;     0.000; 0.3029670;    324278.81;
   21.789;    23.789;     0.000; 0.3033300;    326294.71;
   21.211;    23.211;     0.000; 0.3022606;    309859.52;
   21.211;    23.789;     0.000; 0.3025102;    309267.22;
   21.789;    24.211;     0.000; 0.3035218;    326044.20;
   21.789;    24.789;     0.000; 0.3036763;    323343.90;
   21.211;    24.211;     0.000; 0.3026328;    307689.51;
   21.211;    24.789;     0.000; 0.3027335;    303971.44;
   20.789;     0.211;     0.000; 0.2999352;    488476.90;
   20.789;     0.789;     0.000; 0.2999454;    482949.68;
   20.211;     0.211;     0.000; 0.2999377;    488474.48;
   20.211;     0.789;     0.000; 0.2999473;    482940.64;
   20.789;     1.211;     0.000; 0.2999516;    478882.27;
   20.789;     1.789;     0.000; 0.2999586;    473297.11;
   20.211;     1.211;     0.000; 0.2999533;    478869.48;
   20.211;     1.789;     0.000; 0.2999599;    473280.71;
   20.789;     2.211;     0.000; 0.2999629;    469194.26;
   20.789;     2.789;     0.000; 0.2999676;    463570.23;
   20.211;     2.211;     0.000; 0.2999639;    469175.92;
   20.211;     2.789;     0.000; 0.2999684;    463550.23;
   20.789;     3.211;     0.000; 0.2999705;    459443.98;
   20.789;     3.789;     0.000; 0.2999736;    453794.89;
   20.211;     3.211;     0.000; 0.2999711;    459423.21;
   20.211;     3.789;     0.000; 0.2999741;    453773.66;
   20.789;     4.211;     0.000; 0.2999756;    449653.90;
   20.789;     4.789;     0.000; 0.2999778;    443989.59;
   20.211;     4.211;     0.000; 0.2999760;    449632.59;
   20.211;     4.789;     0.000; 0.2999781;    443968.51;
   20.789;     5.211;     0.000; 0.2999791;    439840.03;
   20.789;     5.789;     0.000; 0.2999806;    434167.51;
   20.211;     5.211;     0.000; 0.2999793;    439819.23;
   20.211;     5.789;     0.000; 0.2999808;    434147.27;
   20.789;     6.211;     0.000; 0.2999816;    430013.82;
   20.789;     6.789;     0.000; 0.2999828;    424338.25;
   20.211;     6.211;     0.000; 0.2999817;    429994.00;
   20.211;     6.789;     0.000; 0.2999829;    424319.02;
   20.789;     7.211;     0.000; 0.2999836;    420183.88;
   20.789;     7.789;     0.000; 0.2999846;    414509.48;
   20.211;     7.211;     0.000; 0.2999836;    420164.99;
   20.211;     7.789;     0.000; 0.2999846;    414490.95;
   20.789;     8.211;     0.000; 0.2999854;    410357.49;
   20.789;     8.789;     0.000; 0.2999865;    404688.45;
   20.211;     8.211;     0.000; 0.2999853;    410339.01;
   20.211;     8.789;     0.000; 0.2999864;    404669.77;
   20.789;     9.211;     0.000; 0.2999875;    400542.28;
   20.789;     9.789;     0.000; 0.2999890;    394883.80;
   20.211;     9.211;     0.000; 0.2999873;    400523.07;
   20.211;     9.789;     0.000; 0.2999887;    394863.33;
   20.789;    10.211;     0.000; 0.2999904;    390748.15;
   20.789;    10.789;     0.000; 0.2999926;    385107.85;
   20.211;    10.211;     0.000; 0.2999899;    390726.09;
   20.211;    10.789;     0.000; 0.2999920;    385082.65;
   20.789;    11.211;     0.000; 0.2999948;    380989.92;
   20.789;    11.789;     0.000; 0.2999983;    375379.81;
   20.211;    11.211;     0.000; 0.2999939;    380961.20;
   20.211;    11.789;     0.000; 0.2999972;    375344.63;
   20.789;    12.211;     0.000; 0.3000019;    371291.03;
   20.789;    12.789;     0.000; 0.3000077;    365730.39;
   20.211;    12.211;     0.000; 0.3000003;    371248.96;
   20.211;    12.789;     0.000; 0.3000056;    365675.95;
   20.789;    13.211;     0.000; 0.3000134;    361689.08;
   20.789;    13.789;     0.000; 0.3000231;    356208.63;
   20.211;    13.211;     0.000; 0.3000106;    361621.78;
   20.211;    13.789;     0.000; 0.3000192;    356118.58;
   20.789;    14.211;     0.000; 0.3000325;    352243.61;
   20.789;    14.789;     0.000; 0.3000482;    346891.43;
   20.211;    14.211;     0.000; 0.3000273;    352130.26;
   20.211;    14.789;     0.000; 0.3000412;    346737.17;
   20.789;    15.211;     0.000; 0.3000634;    343047.09;
   20.789;    15.789;     0.000; 0.3000888;    337896.33;
   20.211;    15.211;     0.000; 0.3000542;    342851.38;
   20.211;    15.789;     0.000; 0.3000762;    337628.29;
   20.789;    16.211;     0.000; 0.3001129;    334238.74;
   20.789;    16.789;     0.000; 0.3001532;    329396.77;
   20.211;    16.211;     0.000; 0.3000968;    333898.09;
   20.211;    16.789;     0.000; 0.3001310;    328930.10;
   20.789;    17.211;     0.000; 0.3001909;    326019.94;
   20.789;    17.789;     0.000; 0.3002533;    321636.26;
   20.211;    17.211;     0.000; 0.3001626;    325428.04;
